comparison,left,right,role,view,target,audit_budget,scope,historical_scope,historical_actual_audit_budget,split,causal_replacement,n_seeds,n_defined,complete,mean,sample_sd,observed_mean,observed_sample_sd,n_present,present_scores_defined,partial_seed_summary,signed_gain_difference_mean
contextual_learned_minus_historical,P_Iplus,E_pca,utility,B,public_coverage,,utility,primary,,validation_person_weighted,False,3,3,True,0.009800635241114427,0.008732857429924837,0.009800635241114427,0.008732857429924837,3,True,False,
contextual_learned_minus_historical,P_J,E_pca,utility,B,public_coverage,,utility,primary,,validation_person_weighted,False,3,3,True,0.009227374576682342,0.00907859693937698,0.009227374576682342,0.00907859693937698,3,True,False,
contextual_learned_minus_historical,F_I,E_pca,utility,B,public_coverage,,utility,primary,,development_evaluation_person_weighted,False,3,3,True,0.011177120664785675,0.010869078298506918,0.011177120664785675,0.010869078298506918,3,True,False,
contextual_learned_minus_historical,F_Iplus,E_pca,utility,B,public_coverage,,utility,primary,,development_evaluation_person_weighted,False,3,3,True,0.007814690807310565,0.009534144926987304,0.007814690807310565,0.009534144926987304,3,True,False,
contextual_learned_minus_historical,F_J,E_pca,utility,B,public_coverage,,utility,primary,,development_evaluation_person_weighted,False,3,3,True,0.009141066214812735,0.008224997589927329,0.009141066214812735,0.008224997589927329,3,True,False,
contextual_learned_minus_historical,P_I,E_pca,utility,B,public_coverage,,utility,primary,,development_evaluation_person_weighted,False,3,3,True,0.010278813269921158,0.007585757179728064,0.010278813269921158,0.007585757179728064,3,True,False,
contextual_learned_minus_historical,P_Iplus,E_pca,utility,B,public_coverage,,utility,primary,,development_evaluation_person_weighted,False,3,3,True,0.010997901060216253,0.007435922868682946,0.010997901060216253,0.007435922868682946,3,True,False,
contextual_learned_minus_historical,P_J,E_pca,utility,B,public_coverage,,utility,primary,,development_evaluation_person_weighted,False,3,3,True,0.01078613273017511,0.007563913978458737,0.01078613273017511,0.007563913978458737,3,True,False,
contextual_learned_minus_historical,F_I,E_pca,audit,AB,SEX,120,standard_independent,primary,120,validation,False,3,3,True,0.01662986136142223,0.0043228384215756345,0.01662986136142223,0.0043228384215756345,3,True,False,-0.01662986136142223
contextual_learned_minus_historical,F_I,E_pca,audit,AB,SEX,120,expanded_independent,primary,120,validation,False,3,3,True,0.01662986136142223,0.0043228384215756345,0.01662986136142223,0.0043228384215756345,3,True,False,-0.01662986136142223
contextual_learned_minus_historical,F_I,E_pca,audit,AB,SEX,120,expanded_catchup,primary,120,validation,False,3,3,True,0.015579291917381463,0.00420176196151989,0.015579291917381463,0.00420176196151989,3,True,False,-0.015579291917381463
contextual_learned_minus_historical,F_Iplus,E_pca,audit,AB,SEX,120,standard_independent,primary,120,validation,False,3,3,True,0.023414811096964156,0.0054640190722919065,0.023414811096964156,0.0054640190722919065,3,True,False,-0.023414811096964156
contextual_learned_minus_historical,F_Iplus,E_pca,audit,AB,SEX,120,expanded_independent,primary,120,validation,False,3,3,True,0.023414811096964156,0.0054640190722919065,0.023414811096964156,0.0054640190722919065,3,True,False,-0.023414811096964156
contextual_learned_minus_historical,F_Iplus,E_pca,audit,AB,SEX,120,expanded_catchup,primary,120,validation,False,3,3,True,0.021792967401505752,0.005905252305846774,0.021792967401505752,0.005905252305846774,3,True,False,-0.021792967401505752
contextual_learned_minus_historical,F_J,E_pca,audit,AB,SEX,120,standard_independent,primary,120,validation,False,3,3,True,0.02856170855208114,0.002942593486306339,0.02856170855208114,0.002942593486306339,3,True,False,-0.02856170855208114
contextual_learned_minus_historical,F_J,E_pca,audit,AB,SEX,120,expanded_independent,primary,120,validation,False,3,3,True,0.02856170855208114,0.002942593486306339,0.02856170855208114,0.002942593486306339,3,True,False,-0.02856170855208114
