seed,objective,index,eigenvalue,above_tolerance,tolerance,dimension
0,L2,46,3.4690602403948397e-18,0,6.855499862231469e-11,128
0,L2,47,2.446897359732186e-18,0,6.855499862231469e-11,128
0,L2,48,1.4157352493646369e-18,0,6.855499862231469e-11,128
0,L2,49,1.2498295158851044e-18,0,6.855499862231469e-11,128
0,L2,50,5.571635324436615e-19,0,6.855499862231469e-11,128
0,L2,51,-1.1730337404329485e-18,0,6.855499862231469e-11,128
0,L2,52,-2.126058695108638e-18,0,6.855499862231469e-11,128
0,L2,53,-3.036473218989416e-18,0,6.855499862231469e-11,128
0,L2,54,-4.680480076070905e-18,0,6.855499862231469e-11,128
0,L2,55,-5.6721719308973836e-18,0,6.855499862231469e-11,128
0,L2,56,-6.965982807451293e-18,0,6.855499862231469e-11,128
0,L2,57,-7.676440359934837e-18,0,6.855499862231469e-11,128
0,L2,58,-8.828884342956409e-18,0,6.855499862231469e-11,128
0,L2,59,-9.939763747106711e-18,0,6.855499862231469e-11,128
0,L2,60,-1.0249261031480538e-17,0,6.855499862231469e-11,128
0,L2,61,-1.375929655808595e-17,0,6.855499862231469e-11,128
0,L2,62,-1.408668041565914e-17,0,6.855499862231469e-11,128
0,L2,63,-1.9183503239764257e-17,0,6.855499862231469e-11,128
0,L2,64,-2.198052464106032e-17,0,6.855499862231469e-11,128
0,L2,65,-2.4553992434858374e-17,0,6.855499862231469e-11,128
0,L2,66,-3.6563087778304447e-17,0,6.855499862231469e-11,128
0,L2,67,-3.967811001586514e-17,0,6.855499862231469e-11,128
0,L2,68,-3.353458984564464e-12,0,6.855499862231469e-11,128
0,L2,69,-1.977971458134458e-11,0,6.855499862231469e-11,128
0,L2,70,-1.0222872827697387e-10,0,6.855499862231469e-11,128
0,L2,71,-1.6421153969115776e-09,0,6.855499862231469e-11,128
0,L2,72,-2.4273779249704185e-09,0,6.855499862231469e-11,128
0,L2,73,-8.53024410301995e-09,0,6.855499862231469e-11,128
0,L2,74,-2.502967320338195e-08,0,6.855499862231469e-11,128
0,L2,75,-6.867473612126932e-08,0,6.855499862231469e-11,128
0,L2,76,-1.4357588726894186e-07,0,6.855499862231469e-11,128
0,L2,77,-8.417722672449099e-07,0,6.855499862231469e-11,128
0,L2,78,-9.287996240568586e-07,0,6.855499862231469e-11,128
0,L2,79,-1.3112524980561546e-06,0,6.855499862231469e-11,128
0,L2,80,-1.9500022656400355e-06,0,6.855499862231469e-11,128
0,L2,81,-2.1600249592367547e-06,0,6.855499862231469e-11,128
0,L2,82,-3.052101982356021e-06,0,6.855499862231469e-11,128
0,L2,83,-3.886552444914079e-06,0,6.855499862231469e-11,128
0,L2,84,-4.011224597250778e-06,0,6.855499862231469e-11,128
0,L2,85,-4.713793615288487e-06,0,6.855499862231469e-11,128
0,L2,86,-5.835696037050323e-06,0,6.855499862231469e-11,128
0,L2,87,-1.119626039508999e-05,0,6.855499862231469e-11,128
0,L2,88,-1.797537805325392e-05,0,6.855499862231469e-11,128
0,L2,89,-2.4253593714624078e-05,0,6.855499862231469e-11,128
0,L2,90,-3.20383728600359e-05,0,6.855499862231469e-11,128
0,L2,91,-3.917373498074161e-05,0,6.855499862231469e-11,128
0,L2,92,-4.685397451933128e-05,0,6.855499862231469e-11,128
0,L2,93,-6.125244900899328e-05,0,6.855499862231469e-11,128
0,L2,94,-7.11251668246829e-05,0,6.855499862231469e-11,128
0,L2,95,-9.427007728972353e-05,0,6.855499862231469e-11,128
0,L2,96,-0.00010399177101729272,0,6.855499862231469e-11,128
0,L2,97,-0.00011360589940201111,0,6.855499862231469e-11,128
0,L2,98,-0.00016051153333308704,0,6.855499862231469e-11,128
0,L2,99,-0.0001820532501331986,0,6.855499862231469e-11,128
0,L2,100,-0.00024359986752465646,0,6.855499862231469e-11,128
0,L2,101,-0.0002755752035680429,0,6.855499862231469e-11,128
0,L2,102,-0.0003057036505302496,0,6.855499862231469e-11,128
0,L2,103,-0.0003672941663429197,0,6.855499862231469e-11,128
0,L2,104,-0.0004044638248937755,0,6.855499862231469e-11,128
0,L2,105,-0.0005270196174036761,0,6.855499862231469e-11,128
0,L2,106,-0.0005724442449063421,0,6.855499862231469e-11,128
0,L2,107,-0.0009287415354562903,0,6.855499862231469e-11,128
0,L2,108,-0.0010034756927553479,0,6.855499862231469e-11,128
