year,seed,condition,weight,scope,kind,endpoint,value
2017,0,spectral_C1,person_weighted,common_fresh,additional_recovery,AB/RAC1P,0.03505567835960499
2017,0,spectral_C1,person_weighted,common_fresh,residence_gain_vs_H,utility/same_residence,0.025260840408546703
2017,0,spectral_C1,person_weighted,transport_all,additional_recovery,A/public_coverage,0.010013341193222836
2017,0,spectral_C1,person_weighted,transport_all,additional_recovery,A/commute_over20,0.005897298340980739
2017,0,spectral_C1,person_weighted,transport_all,additional_recovery,A/SEX,0.01483985020059142
2017,0,spectral_C1,person_weighted,transport_all,additional_recovery,A/RAC1P,0.04086117569306591
2017,0,spectral_C1,person_weighted,transport_all,additional_recovery,B/income_binary,0.0
2017,0,spectral_C1,person_weighted,transport_all,additional_recovery,B/civilian_at_work,0.0
2017,0,spectral_C1,person_weighted,transport_all,additional_recovery,B/same_residence,0.0
2017,0,spectral_C1,person_weighted,transport_all,additional_recovery,B/SEX,0.0
2017,0,spectral_C1,person_weighted,transport_all,additional_recovery,B/RAC1P,0.0
2017,0,spectral_C1,person_weighted,transport_all,additional_recovery,AB/SEX,0.01235310438663939
2017,0,spectral_C1,person_weighted,transport_all,additional_recovery,AB/RAC1P,0.03137605322242032
2017,0,spectral_C1,person_weighted,transport_all,residence_gain_vs_H,utility/same_residence,0.025260840408546703
2017,0,spectral_L1,unweighted,common_fresh,additional_recovery,A/public_coverage,0.013162977882415106
2017,0,spectral_L1,unweighted,common_fresh,additional_recovery,A/commute_over20,0.0032664208784349835
2017,0,spectral_L1,unweighted,common_fresh,additional_recovery,A/SEX,0.019786659144653607
2017,0,spectral_L1,unweighted,common_fresh,additional_recovery,A/RAC1P,0.05979667855675408
2017,0,spectral_L1,unweighted,common_fresh,additional_recovery,B/income_binary,0.0
2017,0,spectral_L1,unweighted,common_fresh,additional_recovery,B/civilian_at_work,0.0
2017,0,spectral_L1,unweighted,common_fresh,additional_recovery,B/same_residence,0.0
2017,0,spectral_L1,unweighted,common_fresh,additional_recovery,B/SEX,0.0
2017,0,spectral_L1,unweighted,common_fresh,additional_recovery,B/RAC1P,0.0
2017,0,spectral_L1,unweighted,common_fresh,additional_recovery,AB/SEX,0.019786659144653607
2017,0,spectral_L1,unweighted,common_fresh,additional_recovery,AB/RAC1P,0.04451690421322674
2017,0,spectral_L1,unweighted,common_fresh,residence_gain_vs_H,utility/same_residence,0.028059227151248423
2017,0,spectral_L1,unweighted,transport_all,additional_recovery,A/public_coverage,0.012443324197315031
2017,0,spectral_L1,unweighted,transport_all,additional_recovery,A/commute_over20,0.004784937788466226
2017,0,spectral_L1,unweighted,transport_all,additional_recovery,A/SEX,0.017523222010401462
2017,0,spectral_L1,unweighted,transport_all,additional_recovery,A/RAC1P,0.05903270640954372
2017,0,spectral_L1,unweighted,transport_all,additional_recovery,B/income_binary,0.0
2017,0,spectral_L1,unweighted,transport_all,additional_recovery,B/civilian_at_work,0.0
2017,0,spectral_L1,unweighted,transport_all,additional_recovery,B/same_residence,0.0
2017,0,spectral_L1,unweighted,transport_all,additional_recovery,B/SEX,0.0
2017,0,spectral_L1,unweighted,transport_all,additional_recovery,B/RAC1P,0.0
2017,0,spectral_L1,unweighted,transport_all,additional_recovery,AB/SEX,0.015163285739405286
2017,0,spectral_L1,unweighted,transport_all,additional_recovery,AB/RAC1P,0.042282692137734834
2017,0,spectral_L1,unweighted,transport_all,residence_gain_vs_H,utility/same_residence,0.028059227151248423
2017,0,spectral_L1,person_weighted,common_fresh,additional_recovery,A/public_coverage,0.013387958990352389
2017,0,spectral_L1,person_weighted,common_fresh,additional_recovery,A/commute_over20,0.0038600510188705472
2017,0,spectral_L1,person_weighted,common_fresh,additional_recovery,A/SEX,0.021514684936904338
2017,0,spectral_L1,person_weighted,common_fresh,additional_recovery,A/RAC1P,0.05521591739982368
2017,0,spectral_L1,person_weighted,common_fresh,additional_recovery,B/income_binary,0.0
2017,0,spectral_L1,person_weighted,common_fresh,additional_recovery,B/civilian_at_work,0.0
2017,0,spectral_L1,person_weighted,common_fresh,additional_recovery,B/same_residence,0.0
2017,0,spectral_L1,person_weighted,common_fresh,additional_recovery,B/SEX,0.0
2017,0,spectral_L1,person_weighted,common_fresh,additional_recovery,B/RAC1P,0.0
2017,0,spectral_L1,person_weighted,common_fresh,additional_recovery,AB/SEX,0.021514684936904338
2017,0,spectral_L1,person_weighted,common_fresh,additional_recovery,AB/RAC1P,0.04063900874782145
2017,0,spectral_L1,person_weighted,common_fresh,residence_gain_vs_H,utility/same_residence,0.025178019865862544
2017,0,spectral_L1,person_weighted,transport_all,additional_recovery,A/public_coverage,0.012829058705239205
2017,0,spectral_L1,person_weighted,transport_all,additional_recovery,A/commute_over20,0.006594270149547055
2017,0,spectral_L1,person_weighted,transport_all,additional_recovery,A/SEX,0.01982134680113168
2017,0,spectral_L1,person_weighted,transport_all,additional_recovery,A/RAC1P,0.0543427018329905
2017,0,spectral_L1,person_weighted,transport_all,additional_recovery,B/income_binary,0.0
2017,0,spectral_L1,person_weighted,transport_all,additional_recovery,B/civilian_at_work,0.0
2017,0,spectral_L1,person_weighted,transport_all,additional_recovery,B/same_residence,0.0
