comparison,left,right,role,target,audit_budget,selector,split,n_seeds,n_defined,complete,mean,sample_sd,per_seed
new_minus_beta0,S_F_D,D_init,transfer,civilian_at_work,,primary,development_evaluation_person_weighted,3,3,True,0.00890982825659925,0.006487071933562404,"{""0"":0.016020923661103803,""1"":0.0033155692255319447,""2"":0.007392991883162003}"
new_minus_beta0,S_F_D,D_init,transfer,public_coverage,,primary,validation,3,3,True,0.007140057841153902,0.006078051739710145,"{""0"":0.004356239183409105,""1"":0.0029524978214961473,""2"":0.014111436518556453}"
new_minus_beta0,S_F_D,D_init,transfer,public_coverage,,primary,development_evaluation,3,3,True,0.003694533429310032,0.002574417184027539,"{""0"":0.00310975201797814,""1"":0.0014628110505170433,""2"":0.006511037219434912}"
new_minus_beta0,S_F_D,D_init,transfer,public_coverage,,primary,validation_person_weighted,3,3,True,0.005479461110719323,0.006250810867301555,"{""0"":0.0021364904831870923,""1"":0.0016109963311752296,""2"":0.012690896517795647}"
new_minus_beta0,S_F_D,D_init,transfer,public_coverage,,primary,development_evaluation_person_weighted,3,3,True,0.0032496260327857054,0.0022004628907441566,"{""0"":0.001818247305839571,""1"":0.005783392165423562,""2"":0.0021472386270939836}"
new_minus_beta0,S_F_D,D_init,audit,SEX,120,primary,validation,3,3,True,-0.0015913371295375918,0.002436411680724447,"{""0"":-0.0037211861324093487,""1"":-0.0021182384027061962,""2"":0.0010654131465027694}"
new_minus_beta0,S_F_D,D_init,audit,SEX,120,primary,development_evaluation,3,3,True,0.007831724426843656,0.0012308051685948661,"{""0"":0.006572356290201475,""1"":0.009031825259774307,""2"":0.007890991730555186}"
new_minus_beta0,S_F_D,D_init,audit,SEX,120,primary,validation_person_weighted,3,3,True,-0.006514436883743831,0.0031265962776538727,"{""0"":-0.006183596810160008,""1"":-0.0035664162325311777,""2"":-0.009793297608540308}"
new_minus_beta0,S_F_D,D_init,audit,SEX,120,primary,development_evaluation_person_weighted,3,3,True,0.00514698563342338,0.0018016980701772098,"{""0"":0.00629960272211616,""1"":0.006070584193273887,""2"":0.003070769984880095}"
new_minus_beta0,S_F_D,D_init,audit,RAC1P,120,primary,validation,3,3,True,-0.014127311256691755,0.010874858107212778,"{""0"":-0.009751976853947353,""1"":-0.026508352555983272,""2"":-0.006121604360144639}"
new_minus_beta0,S_F_D,D_init,audit,RAC1P,120,primary,development_evaluation,3,3,True,-0.01143923610447565,0.007169286365077403,"{""0"":-0.019683045529491627,""1"":-0.007971832429016557,""2"":-0.0066628303549187695}"
new_minus_beta0,S_F_D,D_init,audit,RAC1P,120,primary,validation_person_weighted,3,3,True,-0.014488850305849343,0.007147569534846505,"{""0"":-0.017122333721937055,""1"":-0.019946053097014138,""2"":-0.006398164098596837}"
new_minus_beta0,S_F_D,D_init,audit,RAC1P,120,primary,development_evaluation_person_weighted,3,3,True,-0.009762381553856114,0.00915929837468918,"{""0"":-0.01718024640056215,""1"":0.0004752726091321602,""2"":-0.012582170870138354}"
new_minus_beta0,S_F_D,D_init,audit,SEX,120,pooled,validation,3,3,True,-0.003979081245833238,0.004423940034763604,"{""0"":-0.007198503223137309,""1"":-0.0058041536608651745,""2"":0.0010654131465027694}"
