seed,release,role,target,selector,split,log_loss,prior_relative_gain,candidate,evidence_audit_budget
1,E_F_C,audit,SEX,pooled,development_evaluation,0.663306577550155,0.02873010837720058,catchup,360
1,E_F_C,audit,SEX,pooled,validation_person_weighted,0.6696684824438092,0.022377172124218747,catchup,360
1,E_F_C,audit,SEX,pooled,development_evaluation_person_weighted,0.6618771720061507,0.029402974330214326,catchup,360
1,E_F_C,audit,RAC1P,pooled,validation,1.2123977080725847,0.07634197673909537,catchup,360
1,E_F_C,audit,RAC1P,pooled,development_evaluation,1.2376246296554185,0.07931185561999943,catchup,360
1,E_F_C,audit,RAC1P,pooled,validation_person_weighted,1.2095703194254515,0.0791631327331126,catchup,360
1,E_F_C,audit,RAC1P,pooled,development_evaluation_person_weighted,1.2628725696633436,0.06930828694783053,catchup,360
2,E_F_C,transfer,same_residence,primary,validation,0.5124683712361636,,mlp,
2,E_F_C,transfer,same_residence,primary,development_evaluation,0.5042722306288305,,mlp,
2,E_F_C,transfer,same_residence,primary,validation_person_weighted,0.4959188089118345,,mlp,
