seed,role,target,audit_budget,selector,split,reference_teacher,arm,comparison,E_rho0,E_rho0p1,reference_rho0,reference_rho0p1,E_reconstruction_delta,reference_reconstruction_delta,left_minus_right,signed_gain_interaction
0,audit,RAC1P,360,pooled,development_evaluation_person_weighted,R,C,E_reconstruction_interaction_vs_R,E_rho0_C,E_rho0p1_C,R_rho0_C,R_rho0p1_C,0.011227313651199111,0.0005626225664956408,0.01066469108470347,-0.01066469108470347
0,audit,RAC1P,360,pooled,development_evaluation_person_weighted,S,C,E_reconstruction_interaction_vs_S,E_rho0_C,E_rho0p1_C,S_rho0_C,S_rho0p1_C,0.011227313651199111,0.004164820036709038,0.007062493614490073,-0.007062493614490073
0,transfer,same_residence,,primary,validation,R,D,E_reconstruction_interaction_vs_R,E_rho0_D,E_rho0p1_D,R_rho0_D,R_rho0p1_D,-0.0008750553576685194,0.0012440916519301792,-0.0021191470095986986,
0,transfer,same_residence,,primary,validation,S,D,E_reconstruction_interaction_vs_S,E_rho0_D,E_rho0p1_D,S_rho0_D,S_rho0p1_D,-0.0008750553576685194,0.0030871935625407243,-0.003962248920209244,
0,transfer,same_residence,,primary,development_evaluation,R,D,E_reconstruction_interaction_vs_R,E_rho0_D,E_rho0p1_D,R_rho0_D,R_rho0p1_D,-0.002241633024567591,0.0004993018429942375,-0.0027409348675618284,
0,transfer,same_residence,,primary,development_evaluation,S,D,E_reconstruction_interaction_vs_S,E_rho0_D,E_rho0p1_D,S_rho0_D,S_rho0p1_D,-0.002241633024567591,0.0027175701866992696,-0.0049592032112668605,
0,transfer,same_residence,,primary,validation_person_weighted,R,D,E_reconstruction_interaction_vs_R,E_rho0_D,E_rho0p1_D,R_rho0_D,R_rho0p1_D,-0.0006252726103802009,0.0010652099229879197,-0.0016904825333681206,
0,transfer,same_residence,,primary,validation_person_weighted,S,D,E_reconstruction_interaction_vs_S,E_rho0_D,E_rho0p1_D,S_rho0_D,S_rho0p1_D,-0.0006252726103802009,0.004309160569426873,-0.004934433179807074,
0,transfer,same_residence,,primary,development_evaluation_person_weighted,R,D,E_reconstruction_interaction_vs_R,E_rho0_D,E_rho0p1_D,R_rho0_D,R_rho0p1_D,-0.0009632986875093286,0.00037834935945796344,-0.001341648046967292,
0,transfer,same_residence,,primary,development_evaluation_person_weighted,S,D,E_reconstruction_interaction_vs_S,E_rho0_D,E_rho0p1_D,S_rho0_D,S_rho0p1_D,-0.0009632986875093286,0.002209901116806856,-0.0031731998043161846,
0,transfer,commute_over20,,primary,validation,R,D,E_reconstruction_interaction_vs_R,E_rho0_D,E_rho0p1_D,R_rho0_D,R_rho0p1_D,-0.001273389207199438,3.884626472083763e-05,-0.0013122354719202756,
0,transfer,commute_over20,,primary,validation,S,D,E_reconstruction_interaction_vs_S,E_rho0_D,E_rho0p1_D,S_rho0_D,S_rho0p1_D,-0.001273389207199438,0.0018647293250940722,-0.00313811853229351,
