release,role,target,audit_budget,selector,split,metric,n_seeds,n_defined,complete,mean,sample_sd
R_rho0_C,audit,RAC1P,120,primary,development_evaluation_person_weighted,signed_prior_relative_gain,3,3,True,0.07494483588613517,0.003389052269816264
R_rho0_C,audit,SEX,120,pooled,validation,log_loss,3,3,True,0.6572007059837858,0.006714147488678845
R_rho0_C,audit,SEX,120,pooled,validation,signed_prior_relative_gain,3,3,True,0.03518691258303589,0.007088412003350385
R_rho0_C,audit,SEX,120,pooled,development_evaluation,log_loss,3,3,True,0.6593145300130575,0.0024606094343187423
R_rho0_C,audit,SEX,120,pooled,development_evaluation,signed_prior_relative_gain,3,3,True,0.0333721737436092,0.0019802110940056235
R_rho0_C,audit,SEX,120,pooled,validation_person_weighted,log_loss,3,3,True,0.6575562913891916,0.012504728417365224
R_rho0_C,audit,SEX,120,pooled,validation_person_weighted,signed_prior_relative_gain,3,3,True,0.03476872193265986,0.012544619564198686
R_rho0_C,audit,SEX,120,pooled,development_evaluation_person_weighted,log_loss,3,3,True,0.6614750310279814,0.0018854159969422168
R_rho0_C,audit,SEX,120,pooled,development_evaluation_person_weighted,signed_prior_relative_gain,3,3,True,0.030638391792006486,0.0026289524210531896
R_rho0_C,audit,RAC1P,120,pooled,validation,log_loss,3,3,True,1.2074255857128708,0.01122645373108595
R_rho0_C,audit,RAC1P,120,pooled,validation,signed_prior_relative_gain,3,3,True,0.07607146761185168,0.0164083861573112
R_rho0_C,audit,RAC1P,120,pooled,development_evaluation,log_loss,3,3,True,1.2103538984590918,0.019413319349315485
R_rho0_C,audit,RAC1P,120,pooled,development_evaluation,signed_prior_relative_gain,3,3,True,0.07968875070497357,0.006890316449195636
R_rho0_C,audit,RAC1P,120,pooled,validation_person_weighted,log_loss,3,3,True,1.212460970029886,0.011835852845152237
R_rho0_C,audit,RAC1P,120,pooled,validation_person_weighted,signed_prior_relative_gain,3,3,True,0.07224376209335077,0.01291055130571559
