comparison,reference_teacher,arm,role,target,audit_budget,selector,split,n_seeds,n_defined,complete,mean,sample_sd,per_seed
E_reconstruction_interaction_vs_R,R,C,audit,RAC1P,360,primary,validation_person_weighted,3,3,True,0.0008547671008910148,0.003181815592132748,"{""0"":-0.001342592614409055,""1"":-0.0005965840556863,""2"":0.004503477972768399}"
E_reconstruction_interaction_vs_S,S,C,audit,RAC1P,360,primary,validation_person_weighted,3,3,True,-0.0010572064967205492,0.0009828928768296041,"{""0"":-0.00104598363043662,""1"":-7.99731085521227e-05,""2"":-0.0020456627511729053}"
E_reconstruction_interaction_vs_R,R,C,audit,RAC1P,360,primary,development_evaluation_person_weighted,3,3,True,-0.002785672508147282,0.0008660630762559779,"{""0"":-0.0017969109159543528,""1"":-0.0034097766152061393,""2"":-0.0031503299932813533}"
E_reconstruction_interaction_vs_S,S,C,audit,RAC1P,360,primary,development_evaluation_person_weighted,3,3,True,-0.0062490369616374775,0.00024057802371374521,"{""0"":-0.00610659256398427,""1"":-0.006113716233504762,""2"":-0.0065268020874234}"
E_reconstruction_interaction_vs_R,R,C,audit,SEX,360,pooled,validation,3,3,True,0.0046851043998613244,0.0023902801078939094,"{""0"":0.0063719088435408855,""1"":0.0057336474919195135,""2"":0.0019497568641235752}"
E_reconstruction_interaction_vs_S,S,C,audit,SEX,360,pooled,validation,3,3,True,0.001120418978414454,0.004509715258417534,"{""0"":0.0031663179869776403,""1"":0.0042445473184798965,""2"":-0.004049608370214175}"
E_reconstruction_interaction_vs_R,R,C,audit,SEX,360,pooled,development_evaluation,3,3,True,0.006004431090406899,0.003168038214818272,"{""0"":0.0055246134779626255,""1"":0.009385008205228362,""2"":0.0031036715880297105}"
E_reconstruction_interaction_vs_S,S,C,audit,SEX,360,pooled,development_evaluation,3,3,True,0.0019490707310518829,0.003452189964015721,"{""0"":0.0048271095031735545,""1"":0.002898625222281459,""2"":-0.0018785225322993648}"
E_reconstruction_interaction_vs_R,R,C,audit,SEX,360,pooled,validation_person_weighted,3,3,True,0.0034800767405795594,0.005804866742953929,"{""0"":0.008176232178953247,""1"":0.005273987792192014,""2"":-0.003009989749406583}"
E_reconstruction_interaction_vs_S,S,C,audit,SEX,360,pooled,validation_person_weighted,3,3,True,0.002144509651154388,0.009576786186673817,"{""0"":0.0036586809346205174,""1"":0.010874009151531805,""2"":-0.008099161132689159}"
E_reconstruction_interaction_vs_R,R,C,audit,SEX,360,pooled,development_evaluation_person_weighted,3,3,True,0.006969731219049906,0.0018270346017365369,"{""0"":0.008960491934528747,""1"":0.005369611854612377,""2"":0.006579089868008592}"
E_reconstruction_interaction_vs_S,S,C,audit,SEX,360,pooled,development_evaluation_person_weighted,3,3,True,0.0045328924232093115,0.003292723099597771,"{""0"":0.00833000992955113,""1"":0.0028030031483061713,""2"":0.0024656641917706335}"
